Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
86.06	0.353	0.354	0.377	0.417	1.000	0.291	0.316	0.239	0.115	0.125	0.270	0.323	E
86.07	0.358	0.362	0.382	0.420	1.000	0.293	0.324	0.241	0.118	0.129	0.278	0.333	E
86.08	0.361	0.369	0.387	0.421	1.000	0.295	0.333	0.243	0.122	0.133	0.287	0.342	E
86.09	0.363	0.376	0.390	0.422	1.000	0.299	0.341	0.244	0.125	0.137	0.295	0.352	E
87.01	0.617	0.615	0.704	0.935	1.000	0.890	0.549	0.647	0.535	0.369	0.568	0.531	E
87.02	0.638	0.633	0.730	0.961	1.000	0.911	0.570	0.676	0.550	0.378	0.586	0.544	E
87.03	0.657	0.652	0.757	0.986	1.000	0.935	0.595	0.705	0.566	0.386	0.606	0.565	E
87.04	0.668	0.664	0.777	1.000	0.989	0.949	0.618	0.728	0.579	0.390	0.621	0.585	D#
87.05	0.670	0.666	0.789	1.000	0.965	0.949	0.636	0.742	0.586	0.390	0.627	0.597	D#
87.06	0.675	0.667	0.803	1.000	0.943	0.952	0.659	0.756	0.597	0.391	0.634	0.613	D#
87.07	0.680	0.671	0.823	1.000	0.929	0.958	0.686	0.774	0.610	0.392	0.644	0.640	D#
87.08	0.685	0.679	0.845	1.000	0.918	0.966	0.717	0.794	0.626	0.393	0.655	0.669	D#
87.09	0.685	0.686	0.863	1.000	0.907	0.972	0.748	0.812	0.640	0.394	0.666	0.701	D#
88.00	1.000	0.437	0.335	0.340	0.289	0.186	0.220	0.294	0.199	0.127	0.185	0.322	C
88.01	1.000	0.442	0.336	0.344	0.295	0.191	0.225	0.297	0.201	0.126	0.189	0.327	C
88.02	1.000	0.446	0.336	0.347	0.301	0.195	0.230	0.302	0.202	0.126	0.191	0.331	C
88.03	1.000	0.447	0.334	0.349	0.307	0.200	0.236	0.308	0.203	0.125	0.193	0.335	C
88.04	1.000	0.446	0.331	0.350	0.313	0.204	0.242	0.313	0.203	0.123	0.193	0.339	C
88.05	1.000	0.442	0.326	0.348	0.318	0.208	0.247	0.318	0.203	0.122	0.192	0.344	C
88.06	1.000	0.435	0.318	0.345	0.321	0.210	0.252	0.321	0.202	0.119	0.189	0.349	C
88.07	1.000	0.427	0.309	0.341	0.322	0.212	0.256	0.323	0.200	0.117	0.184	0.356	C
88.09	1.000	0.418	0.299	0.335	0.322	0.214	0.261	0.324	0.199	0.115	0.179	0.364	C
88.10	1.000	0.408	0.286	0.329	0.320	0.214	0.265	0.323	0.197	0.111	0.172	0.372	C
89.00	0.951	0.615	0.512	0.650	0.530	0.443	0.398	0.400	0.183	0.261	0.299	1.000	B
89.01	1.000	0.640	0.530	0.679	0.555	0.438	0.407	0.420	0.189	0.273	0.309	0.995	C
89.02	1.000	0.628	0.516	0.667	0.563	0.401	0.391	0.415	0.184	0.271	0.301	0.954	C
89.03	1.000	0.623	0.507	0.664	0.592	0.364	0.386	0.417	0.183	0.271	0.299	0.947	C
89.05	1.000	0.630	0.508	0.681	0.633	0.343	0.392	0.429	0.185	0.274	0.301	0.961	C
89.06	1.000	0.632	0.502	0.691	0.661	0.332	0.399	0.435	0.182	0.275	0.302	0.956	C
89.07	1.000	0.632	0.493	0.700	0.676	0.321	0.406	0.441	0.179	0.275	0.306	0.950	C
89.08	1.000	0.626	0.479	0.705	0.678	0.313	0.409	0.443	0.177	0.275	0.310	0.935	C
89.09	1.000	0.620	0.468	0.711	0.673	0.310	0.417	0.445	0.176	0.276	0.313	0.922	C
89.10	1.000	0.617	0.457	0.718	0.677	0.313	0.427	0.446	0.176	0.272	0.316	0.930	C
90.01	0.910	0.793	0.568	0.738	1.000	0.521	0.381	0.491	0.270	0.266	0.328	0.499	E
90.02	0.941	0.802	0.569	0.734	1.000	0.525	0.390	0.499	0.277	0.270	0.332	0.517	E
90.03	0.948	0.788	0.555	0.710	1.000	0.524	0.390	0.495	0.275	0.268	0.325	0.531	E
90.04	0.949	0.767	0.530	0.680	1.000	0.514	0.383	0.485	0.266	0.261	0.317	0.543	E
90.05	0.921	0.742	0.501	0.645	1.000	0.499	0.381	0.478	0.256	0.253	0.303	0.544	E
90.06	0.899	0.717	0.473	0.609	1.000	0.490	0.378	0.459	0.240	0.247	0.289	0.548	E
90.07	0.879	0.692	0.450	0.572	1.000	0.477	0.374	0.442	0.232	0.239	0.274	0.575	E
90.08	0.824	0.662	0.424	0.539	1.000	0.458	0.370	0.417	0.222	0.229	0.261	0.610	E
90.09	0.727	0.632	0.395	0.509	1.000	0.442	0.362	0.395	0.203	0.217	0.247	0.631	E
91.01	0.833	0.496	0.625	0.687	1.000	0.633	0.682	0.920	0.453	0.310	0.436	0.715	E
91.02	0.856	0.515	0.643	0.703	1.000	0.630	0.727	0.960	0.471	0.314	0.442	0.762	E
91.03	0.869	0.530	0.659	0.713	1.000	0.626	0.772	0.995	0.486	0.318	0.446	0.808	E
91.04	0.854	0.532	0.656	0.702	0.979	0.611	0.797	1.000	0.488	0.313	0.436	0.833	G
91.05	0.831	0.536	0.650	0.689	0.962	0.599	0.821	1.000	0.487	0.308	0.423	0.854	G
91.06	0.806	0.551	0.673	0.678	0.952	0.594	0.846	1.000	0.487	0.304	0.411	0.878	G
91.07	0.779	0.580	0.709	0.669	0.942	0.593	0.870	1.000	0.485	0.298	0.396	0.900	G
91.08	0.753	0.625	0.751	0.668	0.935	0.593	0.894	1.000	0.483	0.292	0.379	0.920	G
91.09	0.731	0.685	0.807	0.684	0.930	0.595	0.920	1.000	0.479	0.287	0.362	0.940	G
92.00	1.000	0.402	0.203	0.237	0.218	0.192	0.206	0.257	0.135	0.106	0.149	0.291	C
92.01	1.000	0.388	0.194	0.236	0.216	0.187	0.209	0.255	0.135	0.102	0.146	0.307	C
92.02	1.000	0.374	0.184	0.236	0.213	0.182	0.213	0.253	0.135	0.098	0.143	0.325	C
92.03	1.000	0.361	0.176	0.235	0.211	0.178	0.218	0.251	0.134	0.094	0.141	0.343	C
92.04	1.000	0.350	0.166	0.234	0.209	0.174	0.224	0.249	0.134	0.090	0.139	0.361	C
92.05	1.000	0.339	0.158	0.233	0.206	0.170	0.230	0.246	0.132	0.087	0.138	0.381	C
92.06	1.000	0.330	0.150	0.232	0.205	0.167	0.237	0.242	0.131	0.084	0.138	0.400	C
92.07	1.000	0.321	0.146	0.230	0.202	0.164	0.243	0.235	0.131	0.081	0.139	0.419	C
92.09	1.000	0.313	0.145	0.229	0.199	0.160	0.249	0.229	0.130	0.078	0.142	0.438	C
92.10	1.000	0.306	0.145	0.228	0.196	0.158	0.255	0.224	0.129	0.076	0.147	0.459	C
93.00	0.837	0.574	0.286	0.504	0.465	0.315	0.531	0.668	0.358	0.236	0.370	1.000	B
93.01	0.790	0.549	0.286	0.517	0.452	0.299	0.524	0.644	0.357	0.234	0.362	1.000	B
93.02	0.751	0.522	0.293	0.540	0.432	0.286	0.522	0.621	0.360	0.232	0.352	1.000	B
93.03	0.718	0.503	0.305	0.564	0.418	0.279	0.521	0.603	0.364	0.233	0.347	1.000	B
93.05	0.690	0.487	0.321	0.579	0.398	0.270	0.517	0.589	0.372	0.235	0.343	1.000	B
93.06	0.665	0.468	0.336	0.579	0.377	0.260	0.514	0.575	0.380	0.239	0.341	1.000	B
93.07	0.645	0.457	0.350	0.561	0.364	0.253	0.514	0.563	0.390	0.243	0.341	1.000	B
93.08	0.627	0.447	0.360	0.533	0.353	0.242	0.513	0.554	0.402	0.250	0.343	1.000	B
93.09	0.609	0.438	0.364	0.514	0.343	0.236	0.512	0.548	0.415	0.257	0.348	1.000	B
93.10	0.593	0.430	0.363	0.504	0.331	0.227	0.512	0.545	0.431	0.265	0.361	1.000	B
94.01	0.582	0.654	0.591	0.803	1.000	0.701	0.647	0.684	0.466	0.258	0.434	0.523	E
94.02	0.554	0.627	0.565	0.769	1.000	0.707	0.645	0.660	0.451	0.247	0.421	0.518	E
94.03	0.533	0.601	0.538	0.740	1.000	0.714	0.646	0.640	0.436	0.236	0.412	0.512	E
94.04	0.516	0.570	0.506	0.705	1.000	0.721	0.645	0.622	0.425	0.227	0.399	0.501	E
94.05	0.497	0.532	0.469	0.665	1.000	0.722	0.625	0.594	0.396	0.213	0.379	0.474	E
94.06	0.470	0.494	0.429	0.620	1.000	0.722	0.602	0.554	0.365	0.195	0.354	0.445	E
94.07	0.428	0.452	0.392	0.578	1.000	0.717	0.562	0.503	0.322	0.178	0.331	0.411	E
94.08	0.392	0.411	0.354	0.535	1.000	0.703	0.536	0.456	0.293	0.164	0.307	0.380	E
94.09	0.357	0.374	0.319	0.498	1.000	0.684	0.503	0.428	0.268	0.149	0.288	0.359	E
95.01	0.752	0.702	0.625	1.000	0.693	0.503	0.498	0.646	0.391	0.207	0.306	0.480	D#
95.02	0.759	0.714	0.684	1.000	0.687	0.521	0.505	0.634	0.392	0.208	0.309	0.476	D#
95.03	0.755	0.718	0.736	1.000	0.668	0.535	0.505	0.602	0.383	0.211	0.311	0.464	D#
95.04	0.733	0.715	0.770	1.000	0.638	0.540	0.495	0.570	0.372	0.208	0.312	0.443	D#
95.05	0.710	0.714	0.798	1.000	0.610	0.542	0.484	0.539	0.365	0.214	0.313	0.425	D#
95.06	0.687	0.720	0.824	1.000	0.588	0.546	0.473	0.511	0.359	0.221	0.317	0.416	D#
95.07	0.675	0.733	0.849	1.000	0.578	0.552	0.466	0.486	0.356	0.233	0.324	0.411	D#
95.08	0.671	0.759	0.875	1.000	0.592	0.561	0.462	0.472	0.356	0.248	0.331	0.411	D#
95.09	0.676	0.794	0.894	1.000	0.615	0.569	0.461	0.462	0.360	0.270	0.344	0.414	D#
96.00	1.000	0.146	0.111	0.185	0.173	0.167	0.220	0.217	0.125	0.118	0.100	0.331	C
96.01	1.000	0.140	0.107	0.178	0.164	0.159	0.212	0.209	0.120	0.113	0.099	0.314	C
96.02	1.000	0.134	0.103	0.171	0.155	0.151	0.204	0.202	0.114	0.108	0.100	0.296	C
96.03	1.000	0.129	0.100	0.164	0.147	0.143	0.194	0.194	0.109	0.104	0.101	0.277	C
96.04	1.000	0.124	0.096	0.156	0.139	0.135	0.185	0.186	0.104	0.100	0.101	0.258	C
96.05	1.000	0.119	0.093	0.149	0.131	0.128	0.176	0.179	0.100	0.097	0.101	0.239	C
96.06	1.000	0.116	0.090	0.141	0.125	0.123	0.166	0.173	0.096	0.094	0.100	0.221	C
96.07	1.000	0.114	0.086	0.134	0.121	0.122	0.157	0.167	0.094	0.091	0.100	0.203	C
96.09	1.000	0.111	0.084	0.128	0.119	0.121	0.148	0.164	0.092	0.088	0.099	0.187	C
96.10	1.000	0.109	0.082	0.123	0.120	0.120	0.141	0.162	0.092	0.085	0.099	0.173	C
97.00	0.469	0.516	0.449	0.882	0.814	0.763	1.000	0.779	0.448	0.267	0.541	0.882	F#
97.01	0.508	0.509	0.440	0.858	0.829	0.750	1.000	0.747	0.431	0.268	0.548	0.897	F#
97.02	0.527	0.505	0.440	0.850	0.861	0.707	1.000	0.722	0.430	0.256	0.557	0.935	F#
97.03	0.503	0.514	0.447	0.870	0.892	0.639	1.000	0.707	0.434	0.260	0.579	0.954	F#
97.05	0.499	0.528	0.452	0.885	0.916	0.572	0.998	0.683	0.419	0.265	0.592	1.000	B
97.06	0.463	0.524	0.443	0.856	0.900	0.510	0.939	0.628	0.415	0.252	0.563	1.000	B
97.07	0.472	0.565	0.486	0.903	0.924	0.493	0.969	0.611	0.402	0.258	0.567	1.000	B
97.08	0.523	0.632	0.548	1.000	0.938	0.521	0.984	0.611	0.392	0.267	0.580	0.944	D#
97.09	0.523	0.625	0.552	1.000	0.845	0.509	0.934	0.547	0.349	0.242	0.522	0.774	D#
97.10	0.511	0.617	0.546	1.000	0.798	0.500	0.873	0.506	0.333	0.230	0.462	0.663	D#
98.01	0.338	0.186	0.200	0.290	1.000	0.446	0.299	0.305	0.133	0.115	0.146	0.306	E
98.02	0.323	0.180	0.202	0.284	1.000	0.439	0.282	0.284	0.129	0.112	0.135	0.289	E
98.03	0.310	0.188	0.213	0.273	1.000	0.425	0.282	0.267	0.130	0.111	0.125	0.271	E
98.04	0.296	0.200	0.220	0.265	1.000	0.432	0.277	0.254	0.124	0.119	0.119	0.259	E
98.05	0.284	0.211	0.225	0.259	1.000	0.423	0.255	0.246	0.122	0.114	0.115	0.248	E
98.06	0.275	0.219	0.224	0.252	1.000	0.396	0.240	0.237	0.120	0.110	0.109	0.241	E
98.07	0.273	0.227	0.221	0.248	1.000	0.378	0.238	0.234	0.119	0.108	0.106	0.241	E
98.08	0.276	0.233	0.223	0.248	1.000	0.366	0.250	0.237	0.123	0.109	0.104	0.243	E
98.09	0.286	0.243	0.237	0.248	1.000	0.352	0.265	0.243	0.125	0.111	0.105	0.243	E
99.01	0.419	0.579	1.000	0.900	0.450	0.438	0.688	0.367	0.298	0.288	0.319	0.576	D
99.02	0.446	0.591	1.000	0.912	0.452	0.430	0.661	0.352	0.302	0.292	0.322	0.564	D
99.03	0.477	0.605	1.000	0.929	0.461	0.427	0.639	0.353	0.309	0.303	0.327	0.562	D
99.04	0.514	0.623	1.000	0.952	0.475	0.434	0.622	0.366	0.320	0.317	0.336	0.578	D
99.05	0.561	0.645	1.000	0.983	0.497	0.448	0.613	0.389	0.335	0.334	0.350	0.605	D
99.06	0.606	0.655	0.978	1.000	0.511	0.456	0.599	0.411	0.345	0.345	0.362	0.624	D#
99.07	0.645	0.667	0.934	1.000	0.516	0.458	0.580	0.429	0.350	0.351	0.367	0.634	D#
99.08	0.688	0.686	0.891	1.000	0.524	0.460	0.566	0.450	0.356	0.359	0.374	0.644	D#
99.09	0.732	0.709	0.850	1.000	0.532	0.463	0.552	0.472	0.361	0.369	0.382	0.656	D#
100.00	1.000	0.234	0.265	0.343	0.239	0.309	0.407	0.305	0.110	0.273	0.283	0.620	C
100.01	1.000	0.243	0.270	0.351	0.253	0.310	0.405	0.307	0.108	0.288	0.290	0.609	C
100.02	1.000	0.253	0.279	0.360	0.269	0.311	0.404	0.311	0.113	0.306	0.300	0.610	C
100.03	1.000	0.264	0.293	0.372	0.286	0.312	0.405	0.318	0.119	0.326	0.312	0.619	C
100.04	1.000	0.281	0.316	0.386	0.303	0.315	0.405	0.329	0.129	0.350	0.327	0.636	C
100.05	1.000	0.306	0.344	0.402	0.321	0.320	0.407	0.343	0.140	0.376	0.341	0.662	C
100.06	1.000	0.340	0.377	0.425	0.340	0.325	0.408	0.363	0.153	0.402	0.358	0.696	C
100.07	1.000	0.384	0.416	0.453	0.363	0.334	0.410	0.386	0.165	0.434	0.375	0.739	C
100.09	1.000	0.433	0.456	0.485	0.390	0.346	0.414	0.410	0.178	0.462	0.392	0.788	C
100.10	1.000	0.492	0.504	0.526	0.421	0.363	0.422	0.436	0.194	0.503	0.410	0.846	C
101.00	0.529	0.316	0.452	0.912	1.000	0.768	0.791	0.759	0.602	0.301	0.464	0.571	E
101.01	0.483	0.288	0.447	0.861	1.000	0.740	0.752	0.768	0.601	0.321	0.463	0.521	E
101.02	0.457	0.266	0.453	0.825	1.000	0.714	0.713	0.782	0.610	0.329	0.457	0.492	E
101.03	0.442	0.264	0.460	0.808	1.000	0.707	0.698	0.798	0.610	0.333	0.448	0.478	E
101.05	0.440	0.263	0.469	0.803	1.000	0.698	0.696	0.815	0.618	0.340	0.446	0.478	E
101.06	0.444	0.266	0.480	0.794	1.000	0.690	0.693	0.831	0.619	0.345	0.444	0.486	E
101.07	0.451	0.271	0.489	0.780	1.000	0.682	0.692	0.844	0.619	0.347	0.440	0.495	E
101.08	0.460	0.281	0.497	0.768	1.000	0.673	0.693	0.856	0.615	0.347	0.436	0.505	E
101.09	0.469	0.290	0.504	0.755	1.000	0.662	0.694	0.867	0.610	0.343	0.432	0.517	E
101.10	0.480	0.298	0.512	0.743	1.000	0.649	0.696	0.876	0.603	0.338	0.428	0.530	E
102.01	0.253	0.198	0.228	0.376	1.000	0.357	0.303	0.217	0.179	0.182	0.200	0.283	E
102.02	0.278	0.228	0.251	0.376	1.000	0.377	0.326	0.244	0.187	0.198	0.211	0.303	E
102.03	0.311	0.263	0.278	0.378	1.000	0.402	0.356	0.267	0.209	0.222	0.221	0.321	E
102.04	0.350	0.299	0.307	0.380	1.000	0.437	0.393	0.298	0.227	0.244	0.237	0.337	E
102.05	0.392	0.335	0.342	0.387	1.000	0.470	0.438	0.335	0.241	0.270	0.258	0.360	E
102.06	0.435	0.373	0.375	0.398	1.000	0.507	0.479	0.375	0.262	0.294	0.275	0.378	E
102.07	0.488	0.418	0.424	0.420	1.000	0.548	0.542	0.424	0.278	0.321	0.305	0.406	E
102.08	0.547	0.470	0.477	0.450	1.000	0.597	0.607	0.485	0.305	0.352	0.338	0.439	E
102.09	0.607	0.524	0.528	0.487	1.000	0.646	0.680	0.543	0.323	0.388	0.370	0.468	E
103.01	1.000	0.641	0.472	0.802	0.606	0.297	0.436	0.664	0.411	0.385	0.390	0.681	C
103.02	1.000	0.590	0.436	0.713	0.565	0.290	0.397	0.624	0.391	0.357	0.352	0.655	C
103.03	1.000	0.549	0.411	0.654	0.519	0.300	0.403	0.628	0.389	0.335	0.344	0.597	C
103.04	1.000	0.503	0.379	0.596	0.436	0.294	0.367	0.606	0.373	0.327	0.316	0.539	C
103.05	1.000	0.474	0.360	0.557	0.383	0.286	0.336	0.573	0.341	0.326	0.297	0.493	C
103.06	1.000	0.462	0.338	0.540	0.357	0.280	0.327	0.552	0.325	0.316	0.285	0.456	C
103.07	1.000	0.459	0.323	0.530	0.340	0.254	0.318	0.530	0.293	0.298	0.268	0.430	C
103.08	1.000	0.442	0.303	0.507	0.335	0.235	0.318	0.508	0.272	0.284	0.264	0.407	C
103.09	1.000	0.419	0.282	0.481	0.327	0.236	0.315	0.490	0.251	0.263	0.245	0.384	C
104.00	1.000	0.570	0.548	0.502	0.340	0.238	0.329	0.492	0.387	0.313	0.351	0.570	C
104.01	1.000	0.611	0.588	0.537	0.364	0.249	0.348	0.528	0.407	0.331	0.380	0.606	C
104.02	1.000	0.649	0.626	0.568	0.387	0.261	0.368	0.564	0.425	0.347	0.407	0.649	C
104.03	1.000	0.683	0.660	0.596	0.410	0.272	0.388	0.600	0.441	0.361	0.431	0.699	C
104.04	1.000	0.712	0.690	0.623	0.433	0.283	0.409	0.635	0.455	0.372	0.452	0.757	C
104.05	1.000	0.737	0.714	0.650	0.454	0.292	0.429	0.668	0.470	0.380	0.467	0.821	C
104.06	1.000	0.752	0.726	0.673	0.474	0.298	0.448	0.695	0.480	0.385	0.474	0.885	C
104.07	1.000	0.751	0.722	0.685	0.486	0.300	0.460	0.711	0.482	0.383	0.470	0.940	C
104.09	1.000	0.744	0.712	0.695	0.494	0.300	0.474	0.724	0.482	0.381	0.460	0.996	C
104.10	0.949	0.698	0.663	0.667	0.474	0.285	0.465	0.699	0.458	0.360	0.425	1.000	B
105.00	0.902	0.729	0.639	0.650	0.911	0.807	0.757	0.610	0.719	1.000	0.313	0.730	A
105.01	0.932	0.745	0.652	0.651	0.952	0.820	0.784	0.623	0.724	1.000	0.325	0.770	A
105.02	0.950	0.751	0.657	0.649	0.988	0.826	0.807	0.631	0.724	1.000	0.333	0.807	A
105.03	0.940	0.735	0.646	0.634	1.000	0.817	0.817	0.632	0.704	0.978	0.333	0.821	E
105.05	0.911	0.706	0.624	0.609	1.000	0.794	0.811	0.622	0.692	0.947	0.331	0.821	E
105.06	0.875	0.666	0.600	0.579	1.000	0.765	0.793	0.606	0.657	0.894	0.324	0.818	E
105.07	0.836	0.625	0.574	0.544	1.000	0.726	0.768	0.590	0.631	0.860	0.320	0.804	E
105.08	0.797	0.578	0.532	0.496	1.000	0.686	0.732	0.568	0.632	0.804	0.318	0.783	E
105.09	0.755	0.531	0.486	0.452	1.000	0.640	0.696	0.555	0.558	0.757	0.303	0.760	E
105.10	0.716	0.487	0.447	0.413	1.000	0.598	0.665	0.521	0.501	0.707	0.284	0.742	E
106.01	0.825	0.751	0.516	1.000	0.993	0.884	0.894	0.883	0.406	0.312	0.353	0.396	D#
106.02	0.829	0.751	0.521	1.000	0.907	0.838	0.871	0.881	0.414	0.311	0.360	0.420	D#
106.03	0.829	0.747	0.526	1.000	0.833	0.794	0.863	0.886	0.423	0.312	0.374	0.447	D#
106.04	0.825	0.740	0.535	1.000	0.775	0.754	0.863	0.890	0.434	0.312	0.386	0.473	D#
106.05	0.816	0.740	0.538	1.000	0.730	0.722	0.871	0.903	0.444	0.310	0.398	0.499	D#
106.06	0.805	0.741	0.535	1.000	0.702	0.695	0.884	0.926	0.461	0.308	0.411	0.523	D#
106.07	0.796	0.740	0.531	1.000	0.694	0.670	0.898	0.946	0.476	0.304	0.426	0.548	D#
106.08	0.787	0.745	0.532	1.000	0.692	0.653	0.909	0.968	0.492	0.298	0.441	0.575	D#
106.09	0.777	0.745	0.528	1.000	0.692	0.642	0.912	0.985	0.503	0.292	0.453	0.608	D#
107.01	0.838	1.000	0.647	0.550	0.598	0.447	0.465	0.525	0.281	0.295	0.360	0.325	C#
107.02	0.892	1.000	0.644	0.556	0.613	0.462	0.476	0.536	0.291	0.299	0.355	0.350	C#
107.03	0.964	1.000	0.638	0.566	0.623	0.484	0.492	0.554	0.300	0.303	0.349	0.375	C#
107.04	1.000	0.959	0.598	0.554	0.600	0.486	0.488	0.547	0.298	0.295	0.330	0.385	C
107.05	1.000	0.881	0.547	0.515	0.560	0.445	0.466	0.515	0.285	0.275	0.300	0.377	C
107.06	1.000	0.806	0.504	0.480	0.532	0.416	0.443	0.490	0.271	0.254	0.274	0.373	C
107.07	1.000	0.740	0.458	0.450	0.504	0.389	0.420	0.465	0.260	0.235	0.251	0.367	C
107.08	1.000	0.677	0.411	0.424	0.475	0.361	0.400	0.437	0.246	0.214	0.229	0.359	C
107.09	1.000	0.620	0.371	0.409	0.443	0.334	0.383	0.413	0.240	0.200	0.211	0.351	C
108.00	0.927	0.703	0.495	0.775	0.679	0.346	0.438	0.697	0.342	0.141	0.417	1.000	B
108.01	0.855	0.652	0.447	0.716	0.651	0.312	0.418	0.654	0.323	0.127	0.385	1.000	B
108.02	0.790	0.604	0.404	0.659	0.631	0.286	0.400	0.611	0.317	0.116	0.353	1.000	B
108.03	0.735	0.563	0.365	0.608	0.599	0.266	0.387	0.569	0.298	0.105	0.328	1.000	B
108.04	0.690	0.533	0.334	0.574	0.564	0.245	0.384	0.544	0.286	0.095	0.311	1.000	B
108.05	0.646	0.504	0.307	0.547	0.528	0.222	0.377	0.522	0.268	0.090	0.299	1.000	B
108.06	0.610	0.480	0.286	0.532	0.491	0.208	0.361	0.506	0.253	0.084	0.290	1.000	B
108.07	0.578	0.454	0.267	0.518	0.449	0.195	0.339	0.487	0.235	0.080	0.278	1.000	B
108.09	0.549	0.435	0.258	0.516	0.414	0.187	0.335	0.461	0.223	0.077	0.264	1.000	B
108.10	0.525	0.417	0.259	0.529	0.383	0.172	0.329	0.437	0.213	0.069	0.251	1.000	B
109.00	0.464	0.390	0.246	0.398	1.000	0.321	0.337	0.511	0.208	0.156	0.151	0.337	E
109.01	0.450	0.371	0.226	0.373	1.000	0.328	0.334	0.495	0.197	0.149	0.140	0.332	E
109.02	0.429	0.350	0.207	0.345	1.000	0.332	0.332	0.475	0.182	0.141	0.129	0.324	E
109.03	0.402	0.327	0.191	0.317	1.000	0.326	0.328	0.449	0.168	0.130	0.121	0.314	E
109.05	0.374	0.306	0.176	0.291	1.000	0.312	0.324	0.419	0.156	0.122	0.116	0.306	E
109.06	0.345	0.285	0.162	0.269	1.000	0.293	0.321	0.391	0.145	0.110	0.114	0.296	E
109.07	0.320	0.266	0.149	0.249	1.000	0.276	0.313	0.362	0.132	0.095	0.111	0.285	E
109.08	0.299	0.247	0.138	0.236	1.000	0.268	0.298	0.334	0.121	0.086	0.110	0.274	E
109.09	0.280	0.231	0.128	0.227	1.000	0.262	0.280	0.307	0.111	0.079	0.109	0.261	E
109.10	0.262	0.217	0.120	0.219	1.000	0.255	0.266	0.281	0.101	0.073	0.109	0.248	E
110.01	0.532	0.494	0.469	0.572	0.589	0.320	0.471	1.000	0.376	0.244	0.321	0.553	G
110.02	0.524	0.482	0.450	0.557	0.594	0.313	0.487	1.000	0.378	0.245	0.331	0.570	G
110.03	0.517	0.472	0.436	0.547	0.601	0.308	0.507	1.000	0.382	0.248	0.343	0.586	G
110.04	0.511	0.464	0.422	0.543	0.610	0.306	0.529	1.000	0.388	0.253	0.358	0.602	G
110.05	0.507	0.464	0.406	0.544	0.622	0.310	0.552	1.000	0.392	0.261	0.373	0.616	G
110.06	0.507	0.471	0.390	0.548	0.636	0.319	0.577	1.000	0.398	0.271	0.391	0.626	G
110.07	0.514	0.478	0.372	0.554	0.653	0.334	0.606	1.000	0.403	0.283	0.409	0.634	G
110.08	0.525	0.485	0.352	0.564	0.675	0.361	0.637	1.000	0.409	0.296	0.432	0.639	G
110.09	0.539	0.489	0.330	0.583	0.701	0.393	0.672	1.000	0.414	0.311	0.457	0.642	G
111.01	1.000	0.177	0.157	0.241	0.271	0.088	0.258	0.308	0.102	0.152	0.216	0.441	C
111.02	1.000	0.172	0.154	0.233	0.264	0.084	0.255	0.302	0.100	0.148	0.214	0.425	C
111.03	1.000	0.171	0.150	0.227	0.257	0.082	0.252	0.296	0.099	0.144	0.213	0.408	C
111.04	1.000	0.170	0.146	0.219	0.250	0.080	0.248	0.288	0.097	0.140	0.211	0.387	C
111.05	1.000	0.167	0.141	0.210	0.238	0.077	0.241	0.278	0.094	0.135	0.208	0.362	C
111.06	1.000	0.163	0.137	0.202	0.226	0.074	0.234	0.268	0.092	0.129	0.203	0.335	C
111.07	1.000	0.157	0.135	0.194	0.214	0.073	0.229	0.259	0.089	0.124	0.199	0.309	C
111.08	1.000	0.152	0.135	0.186	0.203	0.073	0.224	0.251	0.087	0.118	0.195	0.283	C
111.09	1.000	0.146	0.137	0.179	0.198	0.073	0.221	0.245	0.085	0.114	0.190	0.257	C
112.00	0.133	0.138	0.106	0.226	0.198	0.089	0.184	0.179	0.125	0.140	0.116	1.000	B
112.01	0.126	0.128	0.096	0.218	0.187	0.086	0.181	0.162	0.114	0.136	0.113	1.000	B
112.02	0.120	0.122	0.087	0.211	0.176	0.085	0.179	0.146	0.105	0.131	0.111	1.000	B
112.03	0.115	0.118	0.081	0.205	0.166	0.085	0.177	0.132	0.097	0.126	0.110	1.000	B
112.04	0.112	0.114	0.082	0.199	0.156	0.086	0.176	0.120	0.090	0.122	0.110	1.000	B
112.05	0.109	0.110	0.087	0.194	0.147	0.087	0.175	0.109	0.085	0.117	0.111	1.000	B
112.06	0.106	0.108	0.093	0.190	0.139	0.089	0.176	0.100	0.081	0.111	0.113	1.000	B
112.07	0.103	0.105	0.099	0.187	0.131	0.091	0.178	0.094	0.078	0.106	0.116	1.000	B
112.09	0.101	0.103	0.105	0.187	0.125	0.093	0.181	0.090	0.077	0.101	0.119	1.000	B
112.10	0.102	0.103	0.113	0.189	0.120	0.096	0.184	0.089	0.076	0.096	0.123	1.000	B
113.00	0.269	0.216	0.192	0.195	1.000	0.240	0.310	0.200	0.154	0.094	0.101	0.309	E
113.01	0.255	0.194	0.197	0.191	1.000	0.236	0.297	0.173	0.143	0.089	0.100	0.296	E
113.02	0.245	0.168	0.193	0.192	1.000	0.230	0.277	0.153	0.134	0.083	0.100	0.282	E
113.03	0.238	0.147	0.190	0.202	1.000	0.228	0.265	0.139	0.139	0.078	0.099	0.273	E
113.05	0.235	0.135	0.188	0.216	1.000	0.229	0.249	0.134	0.133	0.076	0.099	0.267	E
113.06	0.232	0.134	0.191	0.231	1.000	0.232	0.237	0.132	0.129	0.074	0.097	0.260	E
