Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
19.03	0.774	0.304	0.318	0.546	1.000	0.493	0.659	0.474	0.216	0.275	0.275	0.866	E
19.04	0.720	0.273	0.274	0.521	1.000	0.478	0.649	0.457	0.209	0.265	0.260	0.842	E
19.05	0.670	0.239	0.247	0.497	1.000	0.463	0.634	0.452	0.194	0.255	0.246	0.814	E
19.06	0.623	0.215	0.225	0.474	1.000	0.453	0.607	0.444	0.182	0.248	0.233	0.785	E
19.07	0.574	0.194	0.208	0.451	1.000	0.446	0.586	0.438	0.172	0.236	0.219	0.755	E
19.08	0.530	0.173	0.196	0.428	1.000	0.437	0.560	0.426	0.155	0.228	0.203	0.724	E
19.09	0.492	0.162	0.176	0.409	1.000	0.431	0.549	0.405	0.157	0.218	0.197	0.694	E
20.00	0.757	0.394	0.490	0.674	0.633	0.411	0.612	1.000	0.427	0.391	0.297	0.797	G
20.01	0.736	0.370	0.462	0.641	0.585	0.392	0.608	1.000	0.408	0.371	0.279	0.793	G
20.02	0.718	0.348	0.435	0.610	0.539	0.374	0.605	1.000	0.390	0.351	0.263	0.789	G
20.03	0.702	0.329	0.410	0.583	0.496	0.359	0.603	1.000	0.373	0.331	0.250	0.783	G
20.04	0.689	0.316	0.388	0.557	0.456	0.345	0.601	1.000	0.357	0.312	0.244	0.775	G
20.05	0.680	0.309	0.367	0.533	0.419	0.335	0.601	1.000	0.342	0.296	0.247	0.766	G
20.06	0.672	0.304	0.348	0.510	0.387	0.326	0.602	1.000	0.330	0.282	0.257	0.754	G
20.07	0.665	0.301	0.332	0.490	0.357	0.319	0.605	1.000	0.320	0.269	0.270	0.744	G
20.09	0.659	0.300	0.318	0.472	0.329	0.313	0.609	1.000	0.316	0.258	0.284	0.735	G
20.10	0.655	0.299	0.306	0.457	0.304	0.308	0.614	1.000	0.316	0.250	0.298	0.724	G
21.00	1.000	0.359	0.421	0.513	0.384	0.338	0.399	0.288	0.112	0.250	0.354	0.604	C
21.01	1.000	0.341	0.391	0.474	0.357	0.318	0.383	0.276	0.102	0.238	0.325	0.576	C
21.02	1.000	0.331	0.365	0.444	0.331	0.298	0.368	0.267	0.092	0.227	0.299	0.549	C
21.03	1.000	0.320	0.340	0.418	0.307	0.280	0.354	0.259	0.083	0.217	0.277	0.521	C
21.05	1.000	0.310	0.317	0.394	0.285	0.263	0.341	0.252	0.078	0.207	0.259	0.494	C
21.06	1.000	0.300	0.297	0.374	0.264	0.247	0.329	0.247	0.075	0.198	0.242	0.467	C
21.07	1.000	0.291	0.278	0.356	0.247	0.233	0.319	0.244	0.073	0.190	0.229	0.442	C
21.08	1.000	0.281	0.262	0.341	0.233	0.221	0.310	0.243	0.073	0.182	0.217	0.419	C
21.09	1.000	0.273	0.246	0.329	0.221	0.212	0.303	0.243	0.076	0.175	0.207	0.397	C
21.10	1.000	0.265	0.231	0.319	0.212	0.205	0.296	0.245	0.079	0.169	0.199	0.381	C
22.01	0.790	0.753	0.488	0.522	0.324	0.476	0.640	0.377	0.213	0.307	0.275	1.000	B
22.02	0.742	0.713	0.462	0.499	0.305	0.448	0.627	0.351	0.202	0.295	0.273	1.000	B
22.03	0.702	0.676	0.442	0.483	0.295	0.430	0.618	0.329	0.194	0.282	0.274	1.000	B
22.04	0.666	0.640	0.429	0.464	0.285	0.411	0.608	0.309	0.190	0.274	0.275	1.000	B
22.05	0.636	0.603	0.428	0.447	0.277	0.391	0.598	0.288	0.182	0.265	0.279	1.000	B
22.06	0.600	0.564	0.433	0.428	0.268	0.374	0.593	0.270	0.178	0.261	0.282	1.000	B
22.07	0.563	0.522	0.432	0.414	0.262	0.358	0.588	0.256	0.173	0.254	0.286	1.000	B
22.08	0.526	0.477	0.419	0.427	0.252	0.340	0.568	0.242	0.166	0.245	0.292	1.000	B
22.09	0.490	0.435	0.399	0.451	0.247	0.321	0.549	0.225	0.161	0.239	0.294	1.000	B
23.01	0.313	0.283	0.189	0.245	1.000	0.305	0.236	0.271	0.125	0.118	0.164	0.376	E
23.02	0.297	0.268	0.181	0.245	1.000	0.302	0.231	0.264	0.123	0.117	0.166	0.368	E
23.03	0.282	0.257	0.177	0.251	1.000	0.300	0.227	0.257	0.117	0.114	0.167	0.362	E
23.04	0.268	0.245	0.182	0.262	1.000	0.296	0.223	0.251	0.114	0.112	0.166	0.357	E
23.05	0.255	0.236	0.190	0.278	1.000	0.292	0.224	0.248	0.114	0.115	0.168	0.354	E
23.06	0.241	0.230	0.204	0.292	1.000	0.286	0.230	0.251	0.121	0.120	0.176	0.350	E
23.07	0.229	0.226	0.223	0.305	1.000	0.280	0.236	0.256	0.126	0.121	0.179	0.346	E
23.08	0.222	0.230	0.246	0.324	1.000	0.278	0.247	0.269	0.139	0.123	0.178	0.341	E
23.09	0.222	0.251	0.269	0.340	1.000	0.278	0.256	0.279	0.150	0.126	0.173	0.336	E
24.00	0.484	0.467	0.310	0.604	0.656	0.531	0.556	1.000	0.530	0.251	0.382	0.539	G
24.01	0.590	0.576	0.355	0.692	0.756	0.615	0.585	1.000	0.552	0.267	0.416	0.561	G
24.02	0.724	0.693	0.409	0.796	0.884	0.712	0.628	1.000	0.572	0.287	0.455	0.595	G
24.03	0.847	0.788	0.455	0.882	1.000	0.797	0.653	0.965	0.568	0.303	0.476	0.616	E
24.04	0.855	0.774	0.443	0.850	1.000	0.787	0.601	0.820	0.492	0.281	0.440	0.560	E
24.05	0.852	0.754	0.429	0.821	1.000	0.776	0.570	0.700	0.424	0.267	0.407	0.514	E
24.06	0.845	0.733	0.418	0.796	1.000	0.763	0.533	0.605	0.370	0.257	0.378	0.475	E
24.07	0.826	0.713	0.410	0.778	1.000	0.746	0.482	0.531	0.325	0.247	0.351	0.445	E
24.09	0.800	0.696	0.406	0.761	1.000	0.725	0.450	0.472	0.284	0.243	0.329	0.431	E
24.10	0.769	0.679	0.405	0.747	1.000	0.701	0.420	0.436	0.254	0.229	0.312	0.414	E
25.00	1.000	0.109	0.108	0.180	0.133	0.091	0.123	0.122	0.076	0.054	0.084	0.155	C
25.01	1.000	0.118	0.112	0.185	0.139	0.094	0.122	0.128	0.081	0.052	0.080	0.150	C
25.02	1.000	0.127	0.118	0.191	0.147	0.098	0.125	0.136	0.086	0.051	0.078	0.147	C
25.03	1.000	0.137	0.124	0.197	0.156	0.102	0.128	0.145	0.090	0.054	0.078	0.142	C
25.05	1.000	0.148	0.132	0.205	0.164	0.107	0.132	0.155	0.094	0.058	0.079	0.138	C
25.06	1.000	0.160	0.141	0.215	0.172	0.112	0.136	0.166	0.098	0.063	0.084	0.132	C
25.07	1.000	0.174	0.152	0.226	0.179	0.117	0.141	0.177	0.101	0.068	0.090	0.125	C
25.08	1.000	0.188	0.164	0.236	0.186	0.122	0.145	0.188	0.103	0.074	0.097	0.120	C
25.09	1.000	0.204	0.176	0.245	0.191	0.127	0.150	0.198	0.106	0.079	0.104	0.116	C
25.10	1.000	0.221	0.187	0.255	0.196	0.131	0.155	0.207	0.109	0.085	0.110	0.112	C
26.01	0.512	0.262	0.206	0.258	0.240	0.253	0.316	0.304	0.204	0.254	0.290	1.000	B
26.02	0.547	0.291	0.220	0.271	0.250	0.255	0.319	0.327	0.222	0.270	0.313	1.000	B
26.03	0.598	0.327	0.236	0.284	0.262	0.259	0.323	0.354	0.246	0.289	0.337	1.000	B
26.04	0.658	0.367	0.253	0.300	0.283	0.267	0.330	0.385	0.269	0.307	0.362	1.000	B
26.05	0.720	0.410	0.274	0.317	0.308	0.283	0.340	0.422	0.295	0.329	0.391	1.000	B
